"행정구역별","산업별","대표자연령대",2013,2014,2015,2016,2017
"전국","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",385672,385644,382848,389854,400850
"전국","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","29세 이하",5698,6446,6519,7966,9077
"전국","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","30~39세",44472,43363,43946,47831,47436
"전국","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","40~49세",118145,114009,106233,107772,106221
"전국","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","50~59세",140241,137553,132716,131657,134649
"전국","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","60세 이상",77116,84273,93434,94628,103467
"서울","전체 산업","계",785094,812798,820658,820156,822863
"서울","전체 산업","29세 이하",12550,16196,16331,17879,19446
"서울","전체 산업","30~39세",92331,101788,109270,112023,112751
"서울","전체 산업","40~49세",235918,234485,225705,223127,223179
"서울","전체 산업","50~59세",290465,290821,282411,275356,270348
"서울","전체 산업","60세 이상",153830,169508,186941,191771,197139
"서울","농업, 임업 및 어업(01~03)","계",21,18,18,25,29
"서울","농업, 임업 및 어업(01~03)","29세 이하",-,1,-,-,-
"서울","농업, 임업 및 어업(01~03)","30~39세",1,-,3,5,5
"서울","농업, 임업 및 어업(01~03)","40~49세",2,5,4,6,10
"서울","농업, 임업 및 어업(01~03)","50~59세",13,9,7,9,7
"서울","농업, 임업 및 어업(01~03)","60세 이상",5,3,4,5,7
"서울","광업(05~08)","계",19,27,28,22,21
"서울","광업(05~08)","29세 이하",-,-,-,-,-
"서울","광업(05~08)","30~39세",-,-,1,1,1
"서울","광업(05~08)","40~49세",4,3,2,-,1
"서울","광업(05~08)","50~59세",6,5,8,6,6
"서울","광업(05~08)","60세 이상",9,19,17,15,13
"서울","제조업(10~34)","계",59263,61652,63466,62150,61583
"서울","제조업(10~34)","29세 이하",499,678,784,809,870
"서울","제조업(10~34)","30~39세",3858,4397,4682,4767,4728
"서울","제조업(10~34)","40~49세",18762,18743,18034,17688,17347
"서울","제조업(10~34)","50~59세",26738,27296,27654,27117,26596
"서울","제조업(10~34)","60세 이상",9406,10538,12312,11769,12042
"서울","전기, 가스, 증기 및 공기조절 공급업(35)","계",101,114,116,119,139
"서울","전기, 가스, 증기 및 공기조절 공급업(35)","29세 이하",-,-,-,-,1
"서울","전기, 가스, 증기 및 공기조절 공급업(35)","30~39세",3,3,4,4,7
"서울","전기, 가스, 증기 및 공기조절 공급업(35)","40~49세",11,21,15,16,25
"서울","전기, 가스, 증기 및 공기조절 공급업(35)","50~59세",57,59,58,64,69
"서울","전기, 가스, 증기 및 공기조절 공급업(35)","60세 이상",30,31,39,35,37
"서울","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",470,490,480,453,445
"서울","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","29세 이하",2,2,6,5,4
"서울","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~39세",24,23,16,23,18
"서울","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","40~49세",74,93,82,80,82
"서울","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50~59세",236,210,200,191,194
"서울","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","60세 이상",134,162,176,154,147
"서울","건설업(41~42)","계",21411,22367,22873,22474,22228
"서울","건설업(41~42)","29세 이하",121,192,201,227,276
"서울","건설업(41~42)","30~39세",1281,1515,1678,1673,1675
"서울","건설업(41~42)","40~49세",6719,6730,6454,6418,6483
"서울","건설업(41~42)","50~59세",9595,9597,9512,9276,9149
"서울","건설업(41~42)","60세 이상",3695,4333,5028,4880,4645
"서울","도매 및 소매업(45~47)","계",225877,232616,234095,230451,228295
"서울","도매 및 소매업(45~47)","29세 이하",4392,5495,5367,5749,6015
"서울","도매 및 소매업(45~47)","30~39세",31411,34590,36201,37318,36257
"서울","도매 및 소매업(45~47)","40~49세",75045,73262,69189,68328,67588
"서울","도매 및 소매업(45~47)","50~59세",76039,76697,76316,74664,72401
"서울","도매 및 소매업(45~47)","60세 이상",38990,42572,47022,44392,46034
"서울","운수 및 창고업(49~52)","계",93415,95147,93638,94843,93702
"서울","운수 및 창고업(49~52)","29세 이하",392,501,447,300,324
"서울","운수 및 창고업(49~52)","30~39세",5391,4278,5440,3250,3252
"서울","운수 및 창고업(49~52)","40~49세",15425,14219,13270,11153,11053
"서울","운수 및 창고업(49~52)","50~59세",34434,35715,33941,29874,28876
"서울","운수 및 창고업(49~52)","60세 이상",37773,40434,40540,50266,50197
"서울","숙박 및 음식점업(55~56)","계",123651,126542,126829,128199,130195
"서울","숙박 및 음식점업(55~56)","29세 이하",3731,4907,5109,5671,6275
"서울","숙박 및 음식점업(55~56)","30~39세",17225,20266,23556,25170,26174
"서울","숙박 및 음식점업(55~56)","40~49세",31756,32473,33588,34043,35063
"서울","숙박 및 음식점업(55~56)","50~59세",53495,49405,42041,41806,40320
"서울","숙박 및 음식점업(55~56)","60세 이상",17444,19491,22535,21509,22363
"서울","정보통신업(58~63)","계",19153,22496,23784,23397,23206
"서울","정보통신업(58~63)","29세 이하",225,475,475,526,639
"서울","정보통신업(58~63)","30~39세",3029,4026,4091,4058,4022
"서울","정보통신업(58~63)","40~49세",9310,10110,10185,9972,9802
"서울","정보통신업(58~63)","50~59세",5054,5952,6782,6639,6605
"서울","정보통신업(58~63)","60세 이상",1535,1933,2251,2202,2138
"서울","금융 및 보험업(64~66)","계",10218,10642,10908,11010,11165
"서울","금융 및 보험업(64~66)","29세 이하",56,108,97,142,152
"서울","금융 및 보험업(64~66)","30~39세",634,841,720,850,962
"서울","금융 및 보험업(64~66)","40~49세",3341,3187,2763,2794,2965
"서울","금융 및 보험업(64~66)","50~59세",4848,4999,5531,5477,5424
"서울","금융 및 보험업(64~66)","60세 이상",1339,1507,1797,1747,1662
"서울","부동산업(68)","계",32431,34350,36102,38378,39677
"서울","부동산업(68)","29세 이하",143,211,202,236,312
"서울","부동산업(68)","30~39세",1748,1987,1916,2140,2336
"서울","부동산업(68)","40~49세",6881,7390,7533,8048,7804
"서울","부동산업(68)","50~59세",14244,13960,13383,14189,14343
"서울","부동산업(68)","60세 이상",9415,10802,13068,13765,14882
"서울","전문, 과학 및 기술 서비스업(70~73)","계",33543,37727,40419,39226,38937
"서울","전문, 과학 및 기술 서비스업(70~73)","29세 이하",261,488,530,555,578
"서울","전문, 과학 및 기술 서비스업(70~73)","30~39세",4292,5594,6075,6249,6277
"서울","전문, 과학 및 기술 서비스업(70~73)","40~49세",12938,13851,14261,13716,13505
"서울","전문, 과학 및 기술 서비스업(70~73)","50~59세",10239,11168,12020,11538,11406
"서울","전문, 과학 및 기술 서비스업(70~73)","60세 이상",5813,6626,7533,7168,7171
"서울","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",14945,16473,16649,16007,15950
"서울","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","29세 이하",186,271,243,250,283
"서울","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","30~39세",1841,2315,2312,2284,2242
"서울","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","40~49세",5376,5740,5479,5216,5245
"서울","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","50~59세",5359,5618,5698,5483,5393
"서울","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","60세 이상",2183,2529,2917,2774,2787
"서울","공공행정, 국방 및 사회보장 행정(84)","계",1275,1258,1289,1292,1296
"서울","공공행정, 국방 및 사회보장 행정(84)","29세 이하",-,2,1,1,2
"서울","공공행정, 국방 및 사회보장 행정(84)","30~39세",6,7,6,6,11
"서울","공공행정, 국방 및 사회보장 행정(84)","40~49세",111,133,113,105,100
"서울","공공행정, 국방 및 사회보장 행정(84)","50~59세",1055,1004,1004,1036,1048
"서울","공공행정, 국방 및 사회보장 행정(84)","60세 이상",103,112,165,144,135
"서울","교육 서비스업(85)","계",32318,33349,33717,34074,34762
"서울","교육 서비스업(85)","29세 이하",842,948,944,1052,1063
"서울","교육 서비스업(85)","30~39세",6703,7043,7596,7990,7950
"서울","교육 서비스업(85)","40~49세",14183,13967,12674,12802,13116
"서울","교육 서비스업(85)","50~59세",7651,8158,8871,8721,9182
"서울","교육 서비스업(85)","60세 이상",2939,3233,3632,3509,3451
"서울","보건업 및 사회복지 서비스업(86~87)","계",25349,26683,27008,27828,28683
"서울","보건업 및 사회복지 서비스업(86~87)","29세 이하",100,131,91,124,137
"서울","보건업 및 사회복지 서비스업(86~87)","30~39세",3438,3507,3305,3619,3797
"서울","보건업 및 사회복지 서비스업(86~87)","40~49세",10590,10530,9826,10094,10406
"서울","보건업 및 사회복지 서비스업(86~87)","50~59세",7619,8469,9054,9210,9437
"서울","보건업 및 사회복지 서비스업(86~87)","60세 이상",3602,4046,4732,4781,4906
"서울","예술, 스포츠 및 여가관련 서비스업(90~91)","계",21118,20941,20504,21540,22913
"서울","예술, 스포츠 및 여가관련 서비스업(90~91)","29세 이하",539,610,577,718,828
"서울","예술, 스포츠 및 여가관련 서비스업(90~91)","30~39세",3913,3886,3776,4159,4573
"서울","예술, 스포츠 및 여가관련 서비스업(90~91)","40~49세",6065,5802,5576,5849,6176
"서울","예술, 스포츠 및 여가관련 서비스업(90~91)","50~59세",7610,7365,6788,7019,7053
"서울","예술, 스포츠 및 여가관련 서비스업(90~91)","60세 이상",2991,3278,3787,3795,4283
"서울","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",70516,69906,68735,68668,69637
"서울","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","29세 이하",1061,1176,1257,1514,1687
"서울","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","30~39세",7533,7510,7892,8457,8464
"서울","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","40~49세",19325,18226,16657,16799,16408
"서울","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","50~59세",26173,25135,23543,23037,22839
"서울","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","60세 이상",16424,17859,19386,18861,20239
"부산","전체 산업","계",271983,277713,278850,283554,286571
"부산","전체 산업","29세 이하",4990,5744,5425,6155,7098
"부산","전체 산업","30~39세",30193,32154,33664,35208,35977
"부산","전체 산업","40~49세",72465,72762,70073,71006,71539
"부산","전체 산업","50~59세",102861,100955,97481,96612,95484
"부산","전체 산업","60세 이상",61474,66098,72207,74573,76473
"부산","농업, 임업 및 어업(01~03)","계",86,86,77,77,79
"부산","농업, 임업 및 어업(01~03)","29세 이하",-,-,3,3,2
"부산","농업, 임업 및 어업(01~03)","30~39세",5,4,2,2,2
"부산","농업, 임업 및 어업(01~03)","40~49세",17,12,11,10,12
"부산","농업, 임업 및 어업(01~03)","50~59세",38,40,33,32,33
"부산","농업, 임업 및 어업(01~03)","60세 이상",26,30,28,30,30
"부산","광업(05~08)","계",13,16,16,15,18
"부산","광업(05~08)","29세 이하",-,-,-,-,-
"부산","광업(05~08)","30~39세",-,-,-,1,1
"부산","광업(05~08)","40~49세",4,5,3,3,4
"부산","광업(05~08)","50~59세",7,7,6,5,6
"부산","광업(05~08)","60세 이상",2,4,7,6,7
"부산","제조업(10~34)","계",29123,30369,31425,31277,31012
"부산","제조업(10~34)","29세 이하",261,345,331,359,439
"부산","제조업(10~34)","30~39세",1908,2145,2358,2451,2447
"부산","제조업(10~34)","40~49세",7410,7470,7452,7241,7211
"부산","제조업(10~34)","50~59세",13615,13758,13640,13537,12956
"부산","제조업(10~34)","60세 이상",5929,6651,7644,7689,7959
"부산","전기, 가스, 증기 및 공기조절 공급업(35)","계",33,34,37,41,49
"부산","전기, 가스, 증기 및 공기조절 공급업(35)","29세 이하",-,-,-,-,2
"부산","전기, 가스, 증기 및 공기조절 공급업(35)","30~39세",-,-,-,-,-
"부산","전기, 가스, 증기 및 공기조절 공급업(35)","40~49세",7,6,4,6,7
"부산","전기, 가스, 증기 및 공기조절 공급업(35)","50~59세",19,18,19,23,28
"부산","전기, 가스, 증기 및 공기조절 공급업(35)","60세 이상",7,10,14,12,12
"부산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",420,444,443,443,431
"부산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","29세 이하",1,4,-,3,4
"부산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~39세",30,36,42,43,34
"부산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","40~49세",92,96,84,79,83
"부산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50~59세",208,194,195,193,182
"부산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","60세 이상",89,114,122,125,128
"부산","건설업(41~42)","계",7351,7962,8362,8692,8819
"부산","건설업(41~42)","29세 이하",64,71,79,105,121
"부산","건설업(41~42)","30~39세",581,695,755,810,846
"부산","건설업(41~42)","40~49세",2427,2553,2503,2583,2678
"부산","건설업(41~42)","50~59세",3116,3221,3398,3441,3499
"부산","건설업(41~42)","60세 이상",1163,1422,1627,1753,1675
"부산","도매 및 소매업(45~47)","계",77694,79697,79856,80241,80645
"부산","도매 및 소매업(45~47)","29세 이하",1755,1974,1896,2045,2275
"부산","도매 및 소매업(45~47)","30~39세",9924,10866,11221,11703,11537
"부산","도매 및 소매업(45~47)","40~49세",22734,22874,21717,21966,21956
"부산","도매 및 소매업(45~47)","50~59세",26208,26088,25622,25487,25189
"부산","도매 및 소매업(45~47)","60세 이상",17073,17895,19400,19040,19688
"부산","운수 및 창고업(49~52)","계",28110,27966,28247,27880,27227
"부산","운수 및 창고업(49~52)","29세 이하",110,116,105,109,112
"부산","운수 및 창고업(49~52)","30~39세",1136,996,1423,866,876
"부산","운수 및 창고업(49~52)","40~49세",3570,3423,3278,2884,2926
"부산","운수 및 창고업(49~52)","50~59세",10891,10187,9571,8069,7957
"부산","운수 및 창고업(49~52)","60세 이상",12403,13244,13870,15952,15356
"부산","숙박 및 음식점업(55~56)","계",49480,49768,49343,50578,51352
"부산","숙박 및 음식점업(55~56)","29세 이하",1527,1819,1786,2055,2419
"부산","숙박 및 음식점업(55~56)","30~39세",6062,6720,7544,8063,8535
"부산","숙박 및 음식점업(55~56)","40~49세",11623,11724,11712,12000,12223
"부산","숙박 및 음식점업(55~56)","50~59세",21750,20249,17957,17994,17182
"부산","숙박 및 음식점업(55~56)","60세 이상",8518,9256,10344,10466,10993
"부산","정보통신업(58~63)","계",1548,1658,1656,1780,1796
"부산","정보통신업(58~63)","29세 이하",49,69,40,71,67
"부산","정보통신업(58~63)","30~39세",286,356,304,336,334
"부산","정보통신업(58~63)","40~49세",615,590,621,678,714
"부산","정보통신업(58~63)","50~59세",475,491,521,530,521
"부산","정보통신업(58~63)","60세 이상",123,152,170,165,160
"부산","금융 및 보험업(64~66)","계",3267,3215,3224,3270,3301
"부산","금융 및 보험업(64~66)","29세 이하",33,34,15,19,25
"부산","금융 및 보험업(64~66)","30~39세",311,304,246,277,287
"부산","금융 및 보험업(64~66)","40~49세",1192,1099,973,949,984
"부산","금융 및 보험업(64~66)","50~59세",1244,1292,1486,1526,1526
"부산","금융 및 보험업(64~66)","60세 이상",487,486,504,499,479
"부산","부동산업(68)","계",8479,9172,9524,10599,11388
"부산","부동산업(68)","29세 이하",59,73,61,76,95
"부산","부동산업(68)","30~39세",458,520,523,613,732
"부산","부동산업(68)","40~49세",1853,2100,2145,2424,2504
"부산","부동산업(68)","50~59세",3511,3601,3570,3997,4206
"부산","부동산업(68)","60세 이상",2598,2878,3225,3489,3851
"부산","전문, 과학 및 기술 서비스업(70~73)","계",5725,6215,6524,6729,6825
"부산","전문, 과학 및 기술 서비스업(70~73)","29세 이하",58,91,73,85,93
"부산","전문, 과학 및 기술 서비스업(70~73)","30~39세",718,842,862,953,975
"부산","전문, 과학 및 기술 서비스업(70~73)","40~49세",1970,2049,2100,2160,2105
"부산","전문, 과학 및 기술 서비스업(70~73)","50~59세",1818,1947,2059,2100,2158
"부산","전문, 과학 및 기술 서비스업(70~73)","60세 이상",1161,1286,1430,1431,1494
"부산","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",4781,5104,5004,5208,5240
"부산","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","29세 이하",74,75,64,81,97
"부산","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","30~39세",621,672,612,674,678
"부산","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","40~49세",1451,1591,1472,1531,1502
"부산","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","50~59세",1582,1599,1571,1624,1654
"부산","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","60세 이상",1053,1167,1285,1298,1309
"부산","공공행정, 국방 및 사회보장 행정(84)","계",674,672,699,704,705
"부산","공공행정, 국방 및 사회보장 행정(84)","29세 이하",-,-,-,-,-
"부산","공공행정, 국방 및 사회보장 행정(84)","30~39세",5,5,5,4,6
"부산","공공행정, 국방 및 사회보장 행정(84)","40~49세",66,79,61,51,51
"부산","공공행정, 국방 및 사회보장 행정(84)","50~59세",567,544,558,584,585
"부산","공공행정, 국방 및 사회보장 행정(84)","60세 이상",36,44,75,65,63
"부산","교육 서비스업(85)","계",11799,11817,11760,12077,12282
"부산","교육 서비스업(85)","29세 이하",327,320,306,354,398
"부산","교육 서비스업(85)","30~39세",2690,2573,2523,2637,2607
"부산","교육 서비스업(85)","40~49세",5104,5050,4764,4881,4813
"부산","교육 서비스업(85)","50~59세",2617,2766,2952,3039,3336
"부산","교육 서비스업(85)","60세 이상",1061,1108,1215,1166,1128
"부산","보건업 및 사회복지 서비스업(86~87)","계",7892,8204,8387,8765,9147
"부산","보건업 및 사회복지 서비스업(86~87)","29세 이하",36,50,32,33,48
"부산","보건업 및 사회복지 서비스업(86~87)","30~39세",1026,1021,1009,1077,1157
"부산","보건업 및 사회복지 서비스업(86~87)","40~49세",3187,3130,2928,3031,3180
"부산","보건업 및 사회복지 서비스업(86~87)","50~59세",2464,2681,2884,3039,3149
"부산","보건업 및 사회복지 서비스업(86~87)","60세 이상",1179,1322,1534,1585,1613
"부산","예술, 스포츠 및 여가관련 서비스업(90~91)","계",6672,6599,6280,6819,7228
"부산","예술, 스포츠 및 여가관련 서비스업(90~91)","29세 이하",198,224,182,210,256
"부산","예술, 스포츠 및 여가관련 서비스업(90~91)","30~39세",1192,1179,1083,1262,1413
"부산","예술, 스포츠 및 여가관련 서비스업(90~91)","40~49세",1814,1734,1585,1733,1765
"부산","예술, 스포츠 및 여가관련 서비스업(90~91)","50~59세",2493,2426,2297,2385,2342
"부산","예술, 스포츠 및 여가관련 서비스업(90~91)","60세 이상",975,1036,1133,1229,1452
"부산","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",28836,28715,27986,28359,29027
